reference_number,asmeth,price,product_type,bosal,walker,ets
AP10000X,01.001,18.93,Nachschalld.,278-013,05071,
AP10001X,01.002,17.93,Vorschalld.,285-067,05079,
AP10002X,01.003,4.69,Kollektorrohr,777-001,05077,
AP10003X,01.004,18.53,Nachschalld.,175-345,70268 / 05268,
AP10004X,01.005,5.87,Kollektorrohr,829-001,05078,
AP10005X,01.008,19.24,Nachschalld.,175-347,13189,
AP10006X,01.009,19.14,Nachschalld.,278-189,05425,
AP10007X,01.010,15.95,Vorschalld.,175-169=175-185,12665 / 13190,
AP10008X,01.011,16.1,Vorschalld.,175-123,14097,
AP10009X,01.012,15.72,Vorschalld.,175-117=175-135,14094,
AP10010X,01.013,15.7,Vorschalld.,175-135,14094,
AP10011X,01.014,15.66,Vorschalld.,175-241,13188,
AP10012X,01.015,20.84,Nachschalld.,278-179,13202,
AP10013X,01.017,11.62,Kollektorrohr,883-135,05266,
AP10014X,01.018,11.88,Kollektorrohr,884-163,05423,
AP10015X,01.019,15.94,Vorschalld.,175-163,05424,
AP10016X,01.020,18.47,Nachschalld.,279-349,70266,
AP10017X,01.021,21.79,Nachschalld.,289-023,73321,
AP10018X,01.023,15.9,Vorschalld.,175-185,12665 / 13190,
AP10019X,01.024,23.84,Nachschalld.,282-333,15304,
AP10020X,01.027,10.75,Vorschalld.,282-167,13192,
AP10021X,01.030,17.26,Nachschalld.,175-299,71162,
AP10022X,01.046,16.21,Vorschalld.,175-397,19518,
AP10023X,01.048,28.09,Nachschalld.,287-087,71164,
AP10024X,01.049,20.15,Nachschalld.,279-335,16035,
AP10025X,01.050,20.13,Nachschalld.,278-195,13197,
AP10026X,01.051,20.8,Nachschalld.,282-061,72143,943
AP10027X,01.052,20.4,Nachschalld.,278-397,19519,933
AP10028X,01.053,20.03,Nachschalld.,278-433 / 175-349,19502 / 71128,929
AP10029X,01.054,44.91,Nachschalld.,288-475,-,939
AP10030X,01.055,25.68,Vorschalld.,291-439,23273 / 23364 / 23365,-
AP10031X,01.056,9.04,Endroht,291-429,23364,-
AP10032X,01.057,25.68,Vorschalld.,175-017,-,-
AP10033X,01.058,17.26,Nachschalld.,279-429,-,-
AP10034X,01.059,20.43,Vorschalld.,175-429,23091,2852
AP10035X,01.060,11.04,Endrohr,810-429,10485,
AP10036X,01.061,20.43,Vorschalld.,175-051,-,
AP10037X,01.062,11.34,Endrohr,-,-,
AP10038X,01.063,25.68,Vorschalld.,-,-,
AP10039X,01.064,9.62,Endrohr,-,-,
AP10040X,01.065,25.68,Vorschalld.,175- 013,23124,
AP10041X,01.066,17.88,Nachschalld.,281-313,-,
AP10042X,01.067,20.43,Vorschalld.,175-003,23119,
AP10043X,01.068,11.76,Endrohr,850-019,-,2851
AP10044X,01.069,20.43,Vorschalld.,175-001,23120,2850
AP10045X,01.070,11.82,Endrohr,-,-,
AP10046X,01.071,55.58,Nachschalld.,-,-,
AP10047X,01.072,55.58,Nachschalld.,-,-,
AP10048X,01.073,55.58,Nachschalld.,-,-,
AP10049X,01.074,55.58,Nachschalld.,-,-,
AP10050X,01.078,27.49,Mittelschalldämpfer,284-431,23257,2667
AP10051X,01.079,5.39,Endrohr,750-429,10420,2672
AP10052X,01.080,6.26,Endrohr,770-431,10419,2737
AP10053X,01.081,28.22,Mittelschalldämpfer,287-433,23256,
AP11000X,02.001,16.81,Nachschalld.,176-401,05149,
AP11001X,02.002,4.26,Endrohr,377-403,05150,
AP11002X,02.003,8.56,Kollektorrohr,877-403,05147,
AP11003X,02.004,17.58,Vorschalld.,176-479,14113,
AP11004X,02.005,16.16,Nachschalld.,176-421,13502 / 14122,
AP11005X,02.006,3.62,Endrohr,380-155,14115,
AP11006X,02.007,14.73,Vorschalld.,175-367,18801,
AP11007X,02.008,8.77,Kollektorrohr,736-159,14112,
AP11008X,02.009,9.91,Kollektorrohr,840-159,18800,
AP11009X,02.010,14.27,Vorschalld.,281-153,13501,
AP11010X,02.012,5.42,Kollektorrohr,-,05371,
AP11011X,02.013,14.85,Vorschalld.,281-407,14110,
AP11012X,02.014,9.28,Kollektorrohr,840-161,17650,
AP11013X,02.015,2.44,Vorderrohr.,768-391,17651,
AP11014X,02.016,16.16,Nachschalld.,176-421,13502,
AP11015X,02.017,19.94,Vorschalld.,284-369,70288,
AP11016X,02.018,5.69,Endrohr,438-369,14133,
