reference_number,ets
AP4000X,5614
AP4001X,1134
AP4002X,1133
AP4003X,5524
AP4004X,5392
AP4005X,5374
AP4006X,5693
AP4007X,5696
AP4008X,110
AP4009X,111
AP4010X,118
AP4011X,92
AP4012X,91
AP4013X,118
AP4014X,123
AP4015X,2683
AP4016X,109
AP4017X,117
AP4018X,5058
AP4019X,5603
AP4020X,5634
AP4021X,5311
AP4022X,206
AP4023X,186
AP4024X,5279
AP4025X,5387
AP4026X,5205
AP4027X,5046
AP4028X,280
AP4029X,281
AP4030X,2828
AP4031X,2829
AP4032X,276
AP4033X,5635
AP4034X,419
AP4035X,2268
AP4036X,404
AP4037X,416
AP4038X,405
AP4039X,413
AP4040X,326
AP4041X,373
AP4042X,377
AP4043X,5001
AP4044X,348
AP4045X,332
AP4046X,5233
AP4047X,5266
AP4048X,5582
AP4049X,410
AP4050X,409
AP4051X,5701
AP4052X,5206
AP4053X,5221
AP4054X,5015
AP4055X,5673
AP4056X,5151
AP4057X,5121
AP4058X,5543
AP4059X,5063
AP4060X,5572
AP4061X,2288
AP4062X,2293
AP4063X,790
AP4064X,795
AP4065X,793
AP4066X,787
AP4067X,788
AP4068X,794
AP4069X,786
AP4070X,2661
AP4071X,2643
AP4072X,2642
AP4073X,2198
AP4074X,2200
AP4075X,2202
AP4076X,2199
AP4077X,5723
AP4078X,2779
AP4079X,5207
AP4080X,5198
AP4081X,5109
AP4082X,5694
AP4083X,1338
AP4084X,2875
AP4085X,2748
AP4086X,2556
AP4087X,5114
AP4088X,5129
AP4089X,5141
AP4090X,5678
AP4091X,5541
AP4092X,5729
AP4093X,5730
AP4094X,5542
AP4095X,5352
AP4096X,5106
AP4097X,5544
AP4098X,5208
AP4099X,5551
AP4100X,5553
AP4101X,1263
AP4102X,2868
AP4103X,2307
AP4104X,2656
AP4105X,5369
AP4106X,5005
AP4107X,5104
AP4108X,1329
AP4109X,5588
AP4110X,5257
AP4111X,5610
AP4112X,2873
AP4113X,2666
AP4114X,2745
AP4115X,2744
AP4116X,1212
AP4117X,1168
AP4118X,5128
AP4119X,5137
AP4120X,2318
AP4121X,1352
AP4122X,1342
AP4123X,5058
AP4124X,5161
AP4125X,5111
AP4126X,5282
AP4127X,2576
AP4128X,2534
AP4129X,2589
AP4130X,2535
AP4131X,2588
AP4132X,2713
AP4133X,2714
AP4134X,2754
AP4135X,1423
AP4136X,2755
AP4137X,2529
AP4138X,5611
AP4139X,5354
AP4140X,5704
AP4141X,5190
AP4142X,5124
AP4143X,5159
AP4144X,5201
AP4145X,5277
AP4146X,5387
AP4147X,158
AP4148X,157
AP4149X,5103
AP4150X,5204
AP4151X,5236
AP4152X,5668
AP4153X,5295
AP4154X,5101
AP4155X,5697
AP4156X,5191
AP4157X,5376
AP4158X,5154
AP4159X,5039
AP4160X,5125
AP4161X,5392
AP4162X,5107
AP4163X,5524
AP4164X,5374
AP4165X,2929
AP4166X,5375
AP4167X,1803
AP4168X,1804
AP4169X,2717
AP4170X,2765
AP4171X,1847
AP4172X,2338
AP4173X,5212
AP4174X,5228
AP4175X,5471
AP4176X,5105
AP4177X,5556
AP4178X,5107
AP4179X,5196
AP4180X,5009
AP4181X,5623
AP4182X,5376
AP4183X,5174
AP4184X,5593
AP4185X,5330
AP4186X,5118
AP4187X,5584
AP4188X,5583
AP4189X,5691
AP4190X,2773
AP4191X,2776
AP4192X,2916
AP4193X,2775
AP4194X,2818
